"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
665742,"Soto, Juan","ST",18,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.5555555555555556,0.2777777777777778,0.16666666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.33333333333333337,0.16666666666666669,0.05555555555555555
686823,"Brennan, Will","FC",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
668930,"Turang, Brice","CH",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
608369,"Seager, Corey","FC",9,0.3333333333333333,0.6666666666666667,0.5555555555555556,0,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0.3333333333333333
686823,"Brennan, Will","SL",5,0.2,0.8,0.4,0.2,0.2,0.6,0.2,0.2,0.2,0,0,0.39999999999999997,0.2,0.2
683737,"Busch, Michael","ST",12,0.25,0.7500000000000001,0.4166666666666667,0.25,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0,0.41666666666666674,0.25,0.08333333333333333
671277,"García Jr., Luis","CH",1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
664040,"Lowe, Brandon","ST",7,0,0.9999999999999999,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0,0,0,0.2857142857142857,0.2857142857142857,0.42857142857142855
630105,"Cronenworth, Jake","CH",4,0.5,0.5,0.25,0.25,0,0.5,0.25,0.25,0.25,0.25,0,0.25,0,0.25
643446,"McNeil, Jeff","ST",6,0.3333333333333333,0.6666666666666666,0,0.5,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0,0,0.33333333333333337,0.3333333333333333
670042,"Raley, Luke","CU",4,0.75,0.25,0,0.25,0,0.25,0.75,0,0.25,0.5,0,0,0.25,0
687462,"Horwitz, Spencer","FC",4,0.5,0.5,0.25,0.25,0,0,0.5,0.5,0,0.5,0,0,0,0.5
666310,"Naylor, Bo","FC",3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,0,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,0,0,0,0.3333333333333333,0
572138,"Singleton, Jon","CH",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
665742,"Soto, Juan","SI",47,0.5319148936170213,0.46808510638297873,0.2127659574468085,0.2553191489361702,0,0.3617021276595745,0.3404255319148936,0.2978723404255319,0.23404255319148937,0.2127659574468085,0.0851063829787234,0.12765957446808512,0.1276595744680851,0.21276595744680848
650333,"Arraez, Luis","FC",14,0.42857142857142855,0.5714285714285714,0.35714285714285715,0.21428571428571427,0,0.42857142857142855,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.14285714285714285,0,0.14285714285714285,0.2142857142857143,0.21428571428571427
677800,"Abreu, Wilyer","ST",5,0,1,1,0,0,0.2,0.6,0.2,0,0,0,0.2,0.6,0.2
660271,"Ohtani, Shohei","CU",12,0.5,0.49999999999999994,0.25,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.5,0.08333333333333333,0.25,0.25,0,0.16666666666666669,0.25,0.08333333333333333
680757,"Kwan, Steven","SI",46,0.41304347826086957,0.5869565217391304,0.15217391304347827,0.391304347826087,0.043478260869565216,0.391304347826087,0.30434782608695654,0.30434782608695654,0.21739130434782608,0.15217391304347827,0.043478260869565216,0.1739130434782609,0.15217391304347827,0.26086956521739135
656811,"O'Hearn, Ryan","SV",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
669357,"Gorman, Nolan","CU",2,0.5,0.5,0,0.5,0,1,0,0,0.5,0,0,0.5,0,0
608385,"Winker, Jesse","FC",3,1,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
665833,"Cruz, Oneil","SL",27,0.5925925925925926,0.4074074074074074,0.14814814814814814,0.2222222222222222,0.037037037037037035,0.37037037037037035,0.4444444444444444,0.18518518518518517,0.18518518518518517,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.14814814814814814,0.07407407407407407
682928,"Abrams, CJ","ST",10,0.5,0.5,0.2,0.1,0.2,0.4,0.3,0.3,0.4,0.1,0,0,0.19999999999999998,0.3
666160,"Moniak, Mickey","FF",6,0.5,0.5,0.3333333333333333,0,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.33333333333333337,0,0.16666666666666666
